,Unnamed: 0,Unnamed: 0.1,Warehouse id,Region,item_id,date,sales,pred,
2495,5005,5005,Wh-3,WEST,SKU-6,01/01/21,11,-4.280509251,-15.28050925
2496,5010,5010,Wh-3,WEST,SKU-60,01/01/21,364,13.42430239,-350.5756976
2497,5015,5015,Wh-3,WEST,SKU-61,01/01/21,184,31.26281639,-152.7371836
2498,5020,5020,Wh-3,WEST,SKU-62,01/01/21,266,16.44051818,-249.5594818
2491,4985,4985,Wh-3,WEST,SKU-56,01/01/21,182,61.6080893,-120.3919107
2499,5025,5025,Wh-3,WEST,SKU-63,01/01/21,94,1.079530284,-92.92046972
2501,5035,5035,Wh-3,WEST,SKU-67,01/01/21,479,30.54561565,-448.4543843
2502,5040,5040,Wh-3,WEST,SKU-68,01/01/21,62,20.50824134,-41.49175866
2503,5045,5045,Wh-3,WEST,SKU-69,01/01/21,180,-23.82688091,-203.8268809
2504,5050,5050,Wh-3,WEST,SKU-7,01/01/21,296,52.29416785,-243.7058322
2505,5055,5055,Wh-3,WEST,SKU-70,01/01/21,286,6.929852394,-279.0701476
2506,5060,5060,Wh-3,WEST,SKU-71,01/01/21,45,14.77797201,-30.22202799
2507,5065,5065,Wh-3,WEST,SKU-72,01/01/21,98,1.915839108,-96.08416089
2500,5030,5030,Wh-3,WEST,SKU-66,01/01/21,242,6.617136187,-235.3828638
2490,4980,4980,Wh-3,WEST,SKU-55,01/01/21,85,6.409616937,-78.59038306
2489,4975,4975,Wh-3,WEST,SKU-54,01/01/21,36,4.496652494,-31.50334751
2488,4970,4970,Wh-3,WEST,SKU-53,01/01/21,253,12.59661756,-240.4033824
1173,40,40,Wh-2,EAST,SKU-112,01/01/21,5,1.350553704,-3.649446296
1172,35,35,Wh-2,EAST,SKU-111,01/01/21,19,105.6822799,86.68227992
1171,30,30,Wh-2,EAST,SKU-110,01/01/21,12,55.56944621,43.56944621
1170,25,25,Wh-2,EAST,SKU-109,01/01/21,13,120.5539502,107.5539502
1169,20,20,Wh-2,EAST,SKU-108,01/01/21,55,94.14553218,39.14553218
1168,15,15,Wh-2,EAST,SKU-107,01/01/21,20,-0.637896062,-20.63789606
1167,10,10,Wh-2,EAST,SKU-106,01/01/21,115,17.76998424,-97.23001576
1166,5,5,Wh-2,EAST,SKU-10,01/01/21,15,1.684357552,-13.31564245
1165,0,0,Wh-2,EAST,SKU-1,01/01/21,11,0.204403338,-10.79559666
2480,4930,4930,Wh-3,WEST,SKU-44,01/01/21,88,11.32154918,-76.67845082
2481,4935,4935,Wh-3,WEST,SKU-45,01/01/21,90,-13.34666615,-103.3466661
2482,4940,4940,Wh-3,WEST,SKU-46,01/01/21,457,31.78138342,-425.2186166
2483,4945,4945,Wh-3,WEST,SKU-47,01/01/21,1431,85.93218805,-1345.067812
2484,4950,4950,Wh-3,WEST,SKU-49,01/01/21,795,87.7713762,-707.2286238
2485,4955,4955,Wh-3,WEST,SKU-5,01/01/21,492,16.9794491,-475.0205509
2486,4960,4960,Wh-3,WEST,SKU-50,01/01/21,429,26.74507625,-402.2549237
2487,4965,4965,Wh-3,WEST,SKU-51,01/01/21,1421,72.23495256,-1348.765047
1175,50,50,Wh-2,EAST,SKU-114,01/01/21,19,4.030573472,-14.96942653
1216,255,255,Wh-2,EAST,SKU-179,01/01/21,6,1.552082378,-4.447917622
1217,260,260,Wh-2,EAST,SKU-182,01/01/21,58,3.200255225,-54.79974478
1218,265,265,Wh-2,EAST,SKU-185,01/01/21,73,7.97679638,-65.02320362
1276,555,555,Wh-2,EAST,SKU-271,01/01/21,15,21.76270458,6.762704578
1275,550,550,Wh-2,EAST,SKU-270,01/01/21,11,237.9282504,226.9282504
1274,545,545,Wh-2,EAST,SKU-27,01/01/21,7,1.591141748,-5.408858252
1273,540,540,Wh-2,EAST,SKU-269,01/01/21,20,12.07973926,-7.920260738
1272,535,535,Wh-2,EAST,SKU-268,01/01/21,3822,226.4007488,-3595.599251
1271,530,530,Wh-2,EAST,SKU-267,01/01/21,259,42.99102132,-216.0089787
1270,525,525,Wh-2,EAST,SKU-265,01/01/21,14,14.10437373,0.104373734
1277,560,560,Wh-2,EAST,SKU-272,01/01/21,30,23.91625706,-6.083742936
1269,520,520,Wh-2,EAST,SKU-264,01/01/21,10495,551.0508768,-9943.949123
1267,510,510,Wh-2,EAST,SKU-262,01/01/21,34,14.34783644,-19.65216356
1266,505,505,Wh-2,EAST,SKU-261,01/01/21,628,101.7429517,-526.2570483
1265,500,500,Wh-2,EAST,SKU-260,01/01/21,42,19.28061508,-22.71938492
1264,495,495,Wh-2,EAST,SKU-26,01/01/21,66,-4.373725056,-70.37372506
1263,490,490,Wh-2,EAST,SKU-259,01/01/21,95,17.93868537,-77.06131463
1262,485,485,Wh-2,EAST,SKU-258,01/01/21,324,17.29743214,-306.7025679
1261,480,480,Wh-2,EAST,SKU-257,01/01/21,10,0.514244881,-9.485755119
1268,515,515,Wh-2,EAST,SKU-263,01/01/21,904,50.64790468,-853.3520953
1278,565,565,Wh-2,EAST,SKU-275,01/01/21,254,13.08090956,-240.9190904
1279,570,570,Wh-2,EAST,SKU-276,01/01/21,59,9.03548027,-49.96451973
1280,575,575,Wh-2,EAST,SKU-278,01/01/21,24,5.71205636,-18.28794364
1297,660,660,Wh-2,EAST,SKU-319,01/01/21,54,31.09628649,-22.90371351
1296,655,655,Wh-2,EAST,SKU-316,01/01/21,19,-2.22903781,-21.22903781
1295,650,650,Wh-2,EAST,SKU-315,01/01/21,12,36.48077082,24.48077082
1294,645,645,Wh-2,EAST,SKU-312,01/01/21,16,29.39994778,13.39994778
1293,640,640,Wh-2,EAST,SKU-31,01/01/21,45,4.445370724,-40.55462928
1292,635,635,Wh-2,EAST,SKU-306,01/01/21,3,-2.677145103,-5.677145103
1291,630,630,Wh-2,EAST,SKU-30,01/01/21,35,5.302767189,-29.69723281
1290,625,625,Wh-2,EAST,SKU-3,01/01/21,7,1.182093824,-5.817906176
1289,620,620,Wh-2,EAST,SKU-297,01/01/21,5,-0.869377617,-5.869377617
1288,615,615,Wh-2,EAST,SKU-293,01/01/21,330,10.43994916,-319.5600508
1287,610,610,Wh-2,EAST,SKU-292,01/01/21,110,14.04661889,-95.95338111
1286,605,605,Wh-2,EAST,SKU-291,01/01/21,157,0.508254304,-156.4917457
1285,600,600,Wh-2,EAST,SKU-29,01/01/21,25,3.991514102,-21.0084859
1284,595,595,Wh-2,EAST,SKU-289,01/01/21,123,5.907353209,-117.0926468
1283,590,590,Wh-2,EAST,SKU-288,01/01/21,15,6.087794242,-8.912205758
1282,585,585,Wh-2,EAST,SKU-287,01/01/21,632,33.65695692,-598.3430431
1281,580,580,Wh-2,EAST,SKU-28,01/01/21,41,3.792860093,-37.20713991
1260,475,475,Wh-2,EAST,SKU-251,01/01/21,39,14.51030575,-24.48969425
1259,470,470,Wh-2,EAST,SKU-250,01/01/21,79,122.0815878,43.0815878
1258,465,465,Wh-2,EAST,SKU-25,01/01/21,27,2.063211347,-24.93678865
1257,460,460,Wh-2,EAST,SKU-248,01/01/21,559,72.42930473,-486.5706953
1235,350,350,Wh-2,EAST,SKU-211,01/01/21,172,16.47694413,-155.5230559
1234,345,345,Wh-2,EAST,SKU-210,01/01/21,22,0.962352174,-21.03764783
1233,340,340,Wh-2,EAST,SKU-21,01/01/21,63,-6.780329233,-69.78032923
1232,335,335,Wh-2,EAST,SKU-208,01/01/21,58,45.37486943,-12.62513057
1231,330,330,Wh-2,EAST,SKU-206,01/01/21,355,48.05247672,-306.9475233
1230,325,325,Wh-2,EAST,SKU-205,01/01/21,159,22.90477404,-136.095226
1229,320,320,Wh-2,EAST,SKU-20,01/01/21,4,5.793291011,1.793291011
1228,315,315,Wh-2,EAST,SKU-2,01/01/21,8,2.042364953,-5.957635047
1227,310,310,Wh-2,EAST,SKU-199,01/01/21,241,20.17610592,-220.8238941
1226,305,305,Wh-2,EAST,SKU-198,01/01/21,5,1.585151171,-3.414848829
1225,300,300,Wh-2,EAST,SKU-196,01/01/21,179,14.24766507,-164.7523349
1224,295,295,Wh-2,EAST,SKU-195,01/01/21,18,1.049577402,-16.9504226
1223,290,290,Wh-2,EAST,SKU-194,01/01/21,49,2.998726551,-46.00127345
1222,285,285,Wh-2,EAST,SKU-190,01/01/21,91,-1.582517755,-92.58251775
1221,280,280,Wh-2,EAST,SKU-189,01/01/21,17,0.090099893,-16.90990011
1220,275,275,Wh-2,EAST,SKU-187,01/01/21,20,2.31602179,-17.68397821
1219,270,270,Wh-2,EAST,SKU-186,01/01/21,69,5.564442873,-63.43555713
1236,355,355,Wh-2,EAST,SKU-214,01/01/21,60,9.595257592,-50.40474241
2508,5070,5070,Wh-3,WEST,SKU-74,01/01/21,403,53.7096529,-349.2903471
1237,360,360,Wh-2,EAST,SKU-216,01/01/21,2965,105.9786522,-2859.021348
1239,370,370,Wh-2,EAST,SKU-219,01/01/21,112,2.156427151,-109.8435728
1256,455,455,Wh-2,EAST,SKU-244,01/01/21,88,8.250453217,-79.74954678
1255,450,450,Wh-2,EAST,SKU-240,01/01/21,3,4.415417842,1.415417842
1254,445,445,Wh-2,EAST,SKU-24,01/01/21,30,6.752527274,-23.24747273
1253,440,440,Wh-2,EAST,SKU-239,01/01/21,28,2.589678627,-25.41032137
1252,435,435,Wh-2,EAST,SKU-237,01/01/21,64,14.65383833,-49.34616167
1251,430,430,Wh-2,EAST,SKU-234,01/01/21,36,11.6491212,-24.3508788
1250,425,425,Wh-2,EAST,SKU-233,01/01/21,66,4.003495254,-61.99650475
1249,420,420,Wh-2,EAST,SKU-232,01/01/21,38,27.56510208,-10.43489792
1248,415,415,Wh-2,EAST,SKU-231,01/01/21,100,-4.454959707,-104.4549597
1247,410,410,Wh-2,EAST,SKU-230,01/01/21,26,2.343100008,-23.65689999
1246,405,405,Wh-2,EAST,SKU-23,01/01/21,31,0.475185511,-30.52481449
1245,400,400,Wh-2,EAST,SKU-226,01/01/21,31,4.592984211,-26.40701579
1244,395,395,Wh-2,EAST,SKU-225,01/01/21,154,8.060905696,-145.9390943
1243,390,390,Wh-2,EAST,SKU-224,01/01/21,186,6.364325743,-179.6356743
1242,385,385,Wh-2,EAST,SKU-221,01/01/21,189,6.177652887,-182.8223471
1241,380,380,Wh-2,EAST,SKU-220,01/01/21,801,48.80443498,-752.195565
1240,375,375,Wh-2,EAST,SKU-22,01/01/21,23,8.292628499,-14.7073715
1238,365,365,Wh-2,EAST,SKU-217,01/01/21,6,0.872252282,-5.127747718
2509,5075,5075,Wh-3,WEST,SKU-75,01/01/21,85,13.72815336,-71.27184664
2510,5080,5080,Wh-3,WEST,SKU-76,01/01/21,16,4.481796677,-11.51820332
2511,5085,5085,Wh-3,WEST,SKU-77,01/01/21,332,41.43485804,-290.565142
3847,2635,2635,Wh-4,SOUTH,SKU-2,01/01/21,18,3.531184408,-14.46881559
3848,2640,2640,Wh-4,SOUTH,SKU-20,01/01/21,27,4.36437732,-22.63562268
3849,2645,2645,Wh-4,SOUTH,SKU-200,01/01/21,37,1.858808009,-35.14119199
3850,2650,2650,Wh-4,SOUTH,SKU-201,01/01/21,97,0.785027053,-96.21497295
3851,2655,2655,Wh-4,SOUTH,SKU-202,01/01/21,39,3.552272049,-35.44772795
3852,2660,2660,Wh-4,SOUTH,SKU-203,01/01/21,74,7.167565773,-66.83243423
3853,2665,2665,Wh-4,SOUTH,SKU-204,01/01/21,77,2.045239618,-74.95476038
3846,2630,2630,Wh-4,SOUTH,SKU-199,01/01/21,127,11.55303073,-115.4469693
3854,2670,2670,Wh-4,SOUTH,SKU-205,01/01/21,23,-0.415279747,-23.41527975
3856,2680,2680,Wh-4,SOUTH,SKU-208,01/01/21,18,1.795545086,-16.20445491
3857,2685,2685,Wh-4,SOUTH,SKU-21,01/01/21,259,9.06231724,-249.9376828
3858,2690,2690,Wh-4,SOUTH,SKU-211,01/01/21,305,25.79470523,-279.2052948
3859,2695,2695,Wh-4,SOUTH,SKU-212,01/01/21,8,-2.22903781,-10.22903781
3860,2700,2700,Wh-4,SOUTH,SKU-214,01/01/21,1,12.70565417,11.70565417
3861,2705,2705,Wh-4,SOUTH,SKU-215,01/01/21,204,9.231018367,-194.7689816
3862,2710,2710,Wh-4,SOUTH,SKU-217,01/01/21,16,7.426608041,-8.573391959
3855,2675,2675,Wh-4,SOUTH,SKU-206,01/01/21,568,45.95883,-522.04117
3845,2625,2625,Wh-4,SOUTH,SKU-196,01/01/21,49,10.25064289,-38.74935711
3844,2620,2620,Wh-4,SOUTH,SKU-194,01/01/21,50,10.15742708,-39.84257292
3843,2615,2615,Wh-4,SOUTH,SKU-193,01/01/21,31,17.0731474,-13.9268526
3826,2530,2530,Wh-4,SOUTH,SKU-172,01/01/21,11,64.96940695,53.96940695
3827,2535,2535,Wh-4,SOUTH,SKU-173,01/01/21,210,5.181990672,-204.8180093
3828,2540,2540,Wh-4,SOUTH,SKU-174,01/01/21,17,5.369146023,-11.63085398
3829,2545,2545,Wh-4,SOUTH,SKU-175,01/01/21,2,5.784184523,3.784184523
3830,2550,2550,Wh-4,SOUTH,SKU-176,01/01/21,6,-1.991324431,-7.991324431
3831,2555,2555,Wh-4,SOUTH,SKU-177,01/01/21,7,-294.4066161,-301.4066161
3832,2560,2560,Wh-4,SOUTH,SKU-178,01/01/21,8,-3.074211874,-11.07421187
3833,2565,2565,Wh-4,SOUTH,SKU-179,01/01/21,17,13.94190443,-3.05809557
3834,2570,2570,Wh-4,SOUTH,SKU-180,01/01/21,2,-6.569452824,-8.569452824
3835,2575,2575,Wh-4,SOUTH,SKU-182,01/01/21,26,34.15252663,8.15252663
3836,2580,2580,Wh-4,SOUTH,SKU-183,01/01/21,11,-144.6901902,-155.6901902
3837,2585,2585,Wh-4,SOUTH,SKU-184,01/01/21,8,16.01446351,8.014463513
3838,2590,2590,Wh-4,SOUTH,SKU-185,01/01/21,15,6.845984326,-8.154015674
3839,2595,2595,Wh-4,SOUTH,SKU-186,01/01/21,20,9.700454549,-10.29954545
3840,2600,2600,Wh-4,SOUTH,SKU-187,01/01/21,21,3.022930104,-17.9770699
3841,2605,2605,Wh-4,SOUTH,SKU-19,01/01/21,11,1.885886226,-9.114113774
3842,2610,2610,Wh-4,SOUTH,SKU-190,01/01/21,95,3.437968604,-91.5620314
3863,2715,2715,Wh-4,SOUTH,SKU-218,01/01/21,5,-2.247009539,-7.247009539
3864,2720,2720,Wh-4,SOUTH,SKU-219,01/01/21,141,13.52350877,-127.4764912
3865,2725,2725,Wh-4,SOUTH,SKU-22,01/01/21,224,13.47510167,-210.5248983
3866,2730,2730,Wh-4,SOUTH,SKU-220,01/01/21,246,22.63399187,-223.3660081
3888,2840,2840,Wh-4,SOUTH,SKU-25,01/01/21,41,16.64564526,-24.35435474
3889,2845,2845,Wh-4,SOUTH,SKU-250,01/01/21,170,14.84650176,-155.1534982
3890,2850,2850,Wh-4,SOUTH,SKU-251,01/01/21,232,30.76630199,-201.233698
3891,2855,2855,Wh-4,SOUTH,SKU-252,01/01/21,213,20.81975131,-192.1802487
3892,2860,2860,Wh-4,SOUTH,SKU-253,01/01/21,85,13.48085099,-71.51914901
3893,2865,2865,Wh-4,SOUTH,SKU-254,01/01/21,217,20.55280879,-196.4471912
3894,2870,2870,Wh-4,SOUTH,SKU-255,01/01/21,170,14.10053408,-155.8994659
3895,2875,2875,Wh-4,SOUTH,SKU-256,01/01/21,618,29.89429095,-588.105709
3896,2880,2880,Wh-4,SOUTH,SKU-257,01/01/21,327,19.83343683,-307.1665632
3897,2885,2885,Wh-4,SOUTH,SKU-258,01/01/21,309,29.06158054,-279.9384195
3898,2890,2890,Wh-4,SOUTH,SKU-259,01/01/21,664,47.41146475,-616.5885353
3899,2895,2895,Wh-4,SOUTH,SKU-26,01/01/21,414,11.44759253,-402.5524075
3900,2900,2900,Wh-4,SOUTH,SKU-260,01/01/21,92,9.065433152,-82.93456685
3901,2905,2905,Wh-4,SOUTH,SKU-261,01/01/21,1475,68.44760055,-1406.552399
3902,2910,2910,Wh-4,SOUTH,SKU-263,01/01/21,133,9.931694857,-123.0683051
3903,2915,2915,Wh-4,SOUTH,SKU-264,01/01/21,1949,185.8589895,-1763.141011
3904,2920,2920,Wh-4,SOUTH,SKU-267,01/01/21,47,-11.05149075,-58.05149075
3887,2835,2835,Wh-4,SOUTH,SKU-248,01/01/21,68,7.074108721,-60.92589128
3825,2525,2525,Wh-4,SOUTH,SKU-171,01/01/21,24,13.04257393,-10.95742607
3886,2830,2830,Wh-4,SOUTH,SKU-246,01/01/21,48,15.95095934,-32.04904066
3884,2820,2820,Wh-4,SOUTH,SKU-244,01/01/21,72,-1.56742069,-73.56742069
3867,2735,2735,Wh-4,SOUTH,SKU-221,01/01/21,16,5.020003863,-10.97999614
3868,2740,2740,Wh-4,SOUTH,SKU-224,01/01/21,235,15.00273924,-219.9972608
3869,2745,2745,Wh-4,SOUTH,SKU-225,01/01/21,145,23.14176368,-121.8582363
3870,2750,2750,Wh-4,SOUTH,SKU-226,01/01/21,20,4.44249606,-15.55750394
3871,2755,2755,Wh-4,SOUTH,SKU-228,01/01/21,15,6.322632957,-8.677367043
3872,2760,2760,Wh-4,SOUTH,SKU-229,01/01/21,239,11.40541725,-227.5945828
3873,2765,2765,Wh-4,SOUTH,SKU-23,01/01/21,41,2.884423105,-38.11557689
3874,2770,2770,Wh-4,SOUTH,SKU-230,01/01/21,33,5.58265585,-27.41734415
3875,2775,2775,Wh-4,SOUTH,SKU-231,01/01/21,21,1.079771531,-19.92022847
3876,2780,2780,Wh-4,SOUTH,SKU-232,01/01/21,36,8.362123245,-27.63787675
3877,2785,2785,Wh-4,SOUTH,SKU-233,01/01/21,423,4.31309555,-418.6869045
3878,2790,2790,Wh-4,SOUTH,SKU-234,01/01/21,59,11.18639934,-47.81360066
3879,2795,2795,Wh-4,SOUTH,SKU-237,01/01/21,120,14.18751806,-105.8124819
3880,2800,2800,Wh-4,SOUTH,SKU-239,01/01/21,12,0.932399292,-11.06760071
3881,2805,2805,Wh-4,SOUTH,SKU-24,01/01/21,231,19.04577636,-211.9542236
3882,2810,2810,Wh-4,SOUTH,SKU-240,01/01/21,33,17.68251776,-15.31748224
3883,2815,2815,Wh-4,SOUTH,SKU-243,01/01/21,139,9.892635487,-129.1073645
3885,2825,2825,Wh-4,SOUTH,SKU-245,01/01/21,211,13.40273225,-197.5972677
1298,665,665,Wh-2,EAST,SKU-32,01/01/21,89,11.95273092,-77.04726908
3824,2520,2520,Wh-4,SOUTH,SKU-170,01/01/21,95,2.349090584,-92.65090942
3822,2510,2510,Wh-4,SOUTH,SKU-169,01/01/21,16,-0.890465258,-16.89046526
2226,3660,3660,Wh-3,WEST,SKU-10,01/01/21,331,71.48325585,-259.5167441
3765,2225,2225,Wh-4,SOUTH,SKU-1,01/01/21,37,21.6589348,-15.3410652
3766,2230,2230,Wh-4,SOUTH,SKU-10,01/01/21,262,8.850958336,-253.1490417
3767,2235,2235,Wh-4,SOUTH,SKU-101,01/01/21,651,37.42848812,-613.5715119
3768,2240,2240,Wh-4,SOUTH,SKU-102,01/01/21,161,1.482828879,-159.5171711
3769,2245,2245,Wh-4,SOUTH,SKU-103,01/01/21,129,20.56167403,-108.438326
3770,2250,2250,Wh-4,SOUTH,SKU-104,01/01/21,149,8.990189076,-140.0098109
2532,5190,5190,Wh-3,WEST,SKU-98,01/01/21,168,5.483208221,-162.5167918
3771,2255,2255,Wh-4,SOUTH,SKU-105,01/01/21,111,8.587131729,-102.4128683
3773,2265,2265,Wh-4,SOUTH,SKU-107,01/01/21,182,10.7380508,-171.2619492
3774,2270,2270,Wh-4,SOUTH,SKU-108,01/01/21,301,37.75055206,-263.2494479
3775,2275,2275,Wh-4,SOUTH,SKU-109,01/01/21,978,13.55872849,-964.4412715
3776,2280,2280,Wh-4,SOUTH,SKU-110,01/01/21,15,0.736861195,-14.2631388
3777,2285,2285,Wh-4,SOUTH,SKU-111,01/01/21,139,11.94386568,-127.0561343
3778,2290,2290,Wh-4,SOUTH,SKU-112,01/01/21,7,17.15749797,10.15749797
3779,2295,2295,Wh-4,SOUTH,SKU-113,01/01/21,235,14.61477896,-220.385221
3772,2260,2260,Wh-4,SOUTH,SKU-106,01/01/21,317,26.42277106,-290.5772289
2531,5185,5185,Wh-3,WEST,SKU-97,01/01/21,106,8.69856051,-97.30143949
2530,5180,5180,Wh-3,WEST,SKU-94,01/01/21,4,77.99400915,73.99400915
2529,5175,5175,Wh-3,WEST,SKU-93,01/01/21,35,3.416880963,-31.58311904
2512,5090,5090,Wh-3,WEST,SKU-78,01/01/21,541,25.55699185,-515.4430082
2513,5095,5095,Wh-3,WEST,SKU-79,01/01/21,326,20.2309861,-305.7690139
2514,5100,5100,Wh-3,WEST,SKU-8,01/01/21,227,12.26568838,-214.7343116
2515,5105,5105,Wh-3,WEST,SKU-80,01/01/21,52,2.246527044,-49.75347296
2516,5110,5110,Wh-3,WEST,SKU-81,01/01/21,47,2.845363736,-44.15463626
2517,5115,5115,Wh-3,WEST,SKU-82,01/01/21,101,47.68514189,-53.31485811
2518,5120,5120,Wh-3,WEST,SKU-83,01/01/21,933,107.8190466,-825.1809534
2519,5125,5125,Wh-3,WEST,SKU-84,01/01/21,992,86.97601612,-905.0239839
2520,5130,5130,Wh-3,WEST,SKU-85,01/01/21,7,1.383622498,-5.616377502
2521,5135,5135,Wh-3,WEST,SKU-86,01/01/21,158,7.326919165,-150.6730808
2522,5140,5140,Wh-3,WEST,SKU-87,01/01/21,4,-0.451223205,-4.451223205
2523,5145,5145,Wh-3,WEST,SKU-88,01/01/21,133,9.757244401,-123.2427556
2524,5150,5150,Wh-3,WEST,SKU-89,01/01/21,261,19.05176694,-241.9482331
2525,5155,5155,Wh-3,WEST,SKU-9,01/01/21,187,-2.954641595,-189.9546416
2526,5160,5160,Wh-3,WEST,SKU-90,01/01/21,16,-2.800555037,-18.80055504
2527,5165,5165,Wh-3,WEST,SKU-91,01/01/21,16,5.817253317,-10.18274668
2528,5170,5170,Wh-3,WEST,SKU-92,01/01/21,16,9.490060635,-6.509939365
3780,2300,2300,Wh-4,SOUTH,SKU-114,01/01/21,20,2.469384606,-17.53061539
3781,2305,2305,Wh-4,SOUTH,SKU-115,01/01/21,41,2.310031214,-38.68996879
3782,2310,2310,Wh-4,SOUTH,SKU-116,01/01/21,14,-2.779467396,-16.7794674
3783,2315,2315,Wh-4,SOUTH,SKU-117,01/01/21,12,-0.009106488,-12.00910649
3805,2425,2425,Wh-4,SOUTH,SKU-150,01/01/21,483,21.45740613,-461.5425939
3806,2430,2430,Wh-4,SOUTH,SKU-151,01/01/21,4236,123.4627572,-4112.537243
3807,2435,2435,Wh-4,SOUTH,SKU-152,01/01/21,725,46.13927103,-678.860729
3808,2440,2440,Wh-4,SOUTH,SKU-154,01/01/21,5,-0.195538097,-5.195538097
3809,2445,2445,Wh-4,SOUTH,SKU-155,01/01/21,25,4.5328372,-20.4671628
3810,2450,2450,Wh-4,SOUTH,SKU-156,01/01/21,16,1.967120878,-14.03287912
3811,2455,2455,Wh-4,SOUTH,SKU-157,01/01/21,151,8.857913902,-142.1420861
3812,2460,2460,Wh-4,SOUTH,SKU-158,01/01/21,13,3.65147843,-9.34852157
3813,2465,2465,Wh-4,SOUTH,SKU-159,01/01/21,13,2.201718345,-10.79828166
3814,2470,2470,Wh-4,SOUTH,SKU-160,01/01/21,53,8.006749261,-44.99325074
3815,2475,2475,Wh-4,SOUTH,SKU-161,01/01/21,10,3.140108214,-6.859891786
3816,2480,2480,Wh-4,SOUTH,SKU-162,01/01/21,2,1.546091801,-0.453908199
